condition,recall_at_k,precision_at_k,mrr,retrieval_accuracy,exact_match,bleu,rouge_l
poisoning_contradictory_clean,0.8871333964049196,0.17742667928098393,0.7634216335540839,0.8871333964049196,0.5592242194891202,0.2588111465984887,0.6305000560352702
poisoning_contradictory_poisoned,0.8830652790917691,0.17661305581835385,0.7548770104068118,0.8830652790917691,0.5581835383159887,0.2580959992513177,0.6292203760348926
poisoning_irrelevant_clean,0.8871333964049196,0.17742667928098393,0.7634216335540839,0.8871333964049196,0.5592242194891202,0.2588111465984887,0.6305000560352702
poisoning_irrelevant_poisoned,0.8861873226111636,0.17723746452223274,0.7614396089561652,0.8861873226111636,0.5569536423841059,0.25750307825809565,0.6283816036897601
defense_contradictory_defended,0.8727530747398297,0.17455061494796595,0.7503500473036897,0.8727530747398297,0.5581835383159887,0.2580959992513177,0.6292203760348926
defense_irrelevant_defended,0.8861873226111636,0.17723746452223274,0.7614396089561652,0.8861873226111636,0.5569536423841059,0.25750307825809565,0.6283816036897601
